"date_seq","station_id","daily_volume","daily_obs","mean_speed"
2023-03-01,NA,1442396,258738,53.1768472222222
2023-03-02,NA,1350517,258696,NA
2023-03-03,NA,1435150,259151,52.3006527777778
2023-03-04,NA,1338527,259200,56.7671111111111
2023-03-05,NA,1208835,257460,57.7730208333333
2023-03-06,NA,1371668,259176,54.0712916666667
2023-03-07,NA,1418304,258789,54.7513263888889
2023-03-08,NA,1412775,258981,54.1109166666667
2023-03-09,NA,1345163,251725,51.8803402777778
2023-03-10,NA,1475675,259140,53.5872777777778
2023-03-11,NA,1412626,260271,57.2919212163096
2023-03-12,NA,879882,180499,58.7278302796528
2023-03-13,NA,1039692,167984,52.1225819672131
2023-03-14,NA,1379129,258821,53.6348428961749
2023-03-15,NA,1451414,257950,54.2425136612022
2023-03-16,NA,1459130,258544,52.8524658469945
2023-03-17,NA,1466948,256918,53.5666120218579
2023-03-18,NA,1409434,257320,56.7507103825137
2023-03-19,NA,1224987,255982,58.1403278688525
2023-03-20,NA,573635,122894,58.0342076502732
2023-03-21,NA,NA,NA,NA
2023-03-22,NA,613215,102388,52.9517704918033
2023-03-23,NA,1420960,259179,53.1812704918033
2023-03-24,NA,1455443,254072,53.1509972677596
2023-03-25,NA,1349469,256194,58.0277732240437
2023-03-26,NA,1185442,253700,59.1848907103825
2023-03-27,NA,1366536,251213,57.0938183060109
2023-03-28,NA,1414917,262087,54.087943989071
2023-03-29,NA,1471072,255858,55.5179986338798
2023-03-30,NA,1494614,255212,55.6510587431694
2023-03-31,NA,1486700,263435,53.815443989071
